D,T,C
19/09/05,12:37:56,9.1758281
19/09/05,12:37:57,7.9654542
19/09/05,12:37:58,7.0646987
19/09/05,12:37:59,7.022898499999999
19/09/05,12:38:00,5.2820841000000005
19/09/05,12:38:01,4.4660549
19/09/05,12:38:02,4.2202447
19/09/05,12:38:03,7.873173400000001
19/09/05,12:38:04,7.7816121
19/09/05,12:38:05,4.834675999999999
19/09/05,12:38:06,6.130698799999999
19/09/05,12:38:07,6.117529899999998
19/09/05,12:38:08,5.881378800000001
19/09/05,12:38:09,6.943032799999998
19/09/05,12:38:10,5.850880399999999
19/09/05,12:38:11,6.063411199999999
19/09/05,12:38:12,6.9577849999999986
19/09/05,12:38:13,6.590142500000001
19/09/05,12:38:14,7.406809099999999
19/09/05,12:38:15,7.997998
19/09/05,12:38:16,7.6716487
19/09/05,12:38:17,6.093269500000002
19/09/05,12:38:18,9.746316799999999
19/09/05,12:38:19,6.032671600000002
19/09/05,12:38:20,8.7130002
19/09/05,12:38:21,8.221038299999998
19/09/05,12:38:22,7.834439200000002
19/09/05,12:38:23,8.5944023
19/09/05,12:38:24,7.3766948
19/09/05,12:38:25,11.4990771
19/09/05,12:38:26,4.968874100000001
19/09/05,12:38:27,4.8356112
19/09/05,12:38:28,4.847745799999999
19/09/05,12:38:29,6.4846805000000005
19/09/05,12:38:30,8.1521361
19/09/05,12:38:31,3.9540863
19/09/05,12:38:32,8.0467602
19/09/05,12:38:33,7.953057500000001
19/09/05,12:38:34,7.985533700000001
19/09/05,12:38:35,5.8833162
19/09/05,12:38:36,10.10191
19/09/05,12:38:37,7.945418700000001
19/09/05,12:38:38,7.968750399999999
19/09/05,12:38:39,7.781111400000002
19/09/05,12:38:40,7.2083703
19/09/05,12:38:41,7.758209700000001
19/09/05,12:38:42,7.968683700000001
19/09/05,12:38:43,7.5459631
19/09/05,12:38:44,7.962010600000001
19/09/05,12:38:45,7.926493100000001
19/09/05,12:38:46,7.0985923
19/09/05,12:38:47,7.7798579
19/09/05,12:38:48,7.4929295
19/09/05,12:38:49,7.832108600000001
